Position,Hauteur,Debit,Vitesse
-19.965,10,0,0
-19.8951,10,0,0
-19.8252,10,0,0
-19.7552,10,0,0
-19.6853,10,0,0
-19.6154,10,0,0
-19.5455,10,0,0
-19.4755,10,0,0
-19.4056,10,0,0
-19.3357,10,0,0
-19.2657,10,0,0
-19.1958,10,0,0
-19.1259,10,0,0
-19.0559,10,0,0
-18.986,10,0,0
-18.9161,10,0,0
-18.8462,10,0,0
-18.7762,10,0,0
-18.7063,10,0,0
-18.6364,10,0,0
-18.5664,10,0,0
-18.4965,10,0,0
-18.4266,10,0,0
-18.3566,10,0,0
-18.2867,10,0,0
-18.2168,10,0,0
-18.1469,10,0,0
-18.0769,10,0,0
-18.007,10,0,0
-17.9371,10,0,0
-17.8671,10,0,0
-17.7972,10,0,0
-17.7273,10,0,0
-17.6573,10,0,0
-17.5874,10,0,0
-17.5175,10,0,0
-17.4476,10,0,0
-17.3776,10,0,0
-17.3077,10,0,0
-17.2378,10,0,0
-17.1678,10,0,0
-17.0979,10,0,0
-17.028,10,0,0
-16.958,10,0,0
-16.8881,10,0,0
-16.8182,10,0,0
-16.7483,10,0,0
-16.6783,10,0,0
-16.6084,10,0,0
-16.5385,10,0,0
-16.4685,10,0,0
-16.3986,10,0,0
-16.3287,10,0,0
-16.2587,10,0,0
-16.1888,10,0,0
-16.1189,10,0,0
-16.049,10,0,0
-15.979,10,0,0
-15.9091,10,0,0
-15.8392,10,0,0
-15.7692,10,0,0
-15.6993,10,0,0
-15.6294,10,0,0
-15.5594,10,0,0
-15.4895,10,0,0
-15.4196,10,0,0
-15.3497,10,0,0
-15.2797,10,0,0
-15.2098,10,0,0
-15.1399,10,0,0
-15.0699,10,0,0
-15,10,0,0
-14.9301,10,0,0
-14.8601,10,0,0
-14.7902,10,0,0
-14.7203,10,0,0
-14.6503,10,0,0
-14.5804,10,0,0
-14.5105,10,0,0
-14.4406,10,0,0
-14.3706,10,0,0
-14.3007,10,0,0
-14.2308,10,0,0
-14.1608,10,0,0
-14.0909,10,0,0
-14.021,10,0,0
-13.951,10,0,0
-13.8811,10,0,0
-13.8112,10,0,0
-13.7413,10,0,0
-13.6713,10,0,0
-13.6014,10,0,0
-13.5315,10,0,0
-13.4615,10,0,0
-13.3916,10,0,0
-13.3217,10,0,0
-13.2517,10,0,0
-13.1818,10,0,0
-13.1119,10,0,0
-13.042,10,0,0
-12.972,10,0,0
-12.9021,10,0,0
-12.8322,10,0,0
-12.7622,10,0,0
-12.6923,10,0,0
-12.6224,10,0,0
-12.5524,10,0,0
-12.4825,10,0,0
-12.4126,10,0,0
-12.3427,10,0,0
-12.2727,10,0,0
-12.2028,10,0,0
-12.1329,10,0,0
-12.0629,10,0,0
-11.993,10,0,0
-11.9231,10,0,0
-11.8531,10,0,0
-11.7832,10,0,0
-11.7133,10,0,0
-11.6434,10,0,0
-11.5734,10,0,0
-11.5035,10,0,0
-11.4336,10,0,0
-11.3636,10,0,0
-11.2937,10,0,0
-11.2238,10,0,0
-11.1538,10,0,0
-11.0839,10,0,0
-11.014,10,0,0
-10.9441,10,0,0
-10.8741,10,0,0
-10.8042,10,0,0
-10.7343,10,0,0
-10.6643,10,0,0
-10.5944,10,0,0
-10.5245,10,0,0
-10.4545,10,0,0
-10.3846,10,0,0
-10.3147,10,0,0
-10.2448,10,0,0
-10.1748,10,0,0
-10.1049,10,0,0
-10.035,10,0,0
-9.96503,10,0,0
-9.8951,10,0,0
-9.82517,10,0,0
-9.75524,10,0,0
-9.68531,10,0,0
-9.61538,10,1.46408e-15,1.46408e-16
-9.54545,10,1.15015e-14,1.15015e-15
-9.47552,10,8.19709e-14,8.19709e-15
-9.40559,10,2.52397e-13,2.52397e-14
-9.33566,10,4.81387e-13,4.81387e-14
-9.26573,10,7.30049e-13,7.30049e-14
-9.1958,10,9.85834e-13,9.85834e-14
-9.12587,10,1.24373e-12,1.24373e-13
-9.05594,10,1.50202e-12,1.50202e-13
-8.98601,10,1.76149e-12,1.76149e-13
-8.91608,10,2.03791e-12,2.03791e-13
-8.84615,10,2.39256e-12,2.39256e-13
-8.77622,10,2.91658e-12,2.91658e-13
-8.70629,10,3.36364e-12,3.36364e-13
